GB-GOR,UK Government organisation name,Website,Status,CO2 emissions (g),Website carbon link,Date last checked
OT579,Independent Case Examiner,https://gov.uk/government/organisations/independent-case-examiner,,0.38,,2021-12-24
OT284,Independent Chief Inspector of Borders and Immigration ,https://gov.uk/government/organisations/independent-chief-inspector-of-borders-and-immigration,,0.59,,2021-12-24
IM335,Independent Commission for Aid Impact,http://icai.independent.gov.uk/,,1.72,,2021-12-24
PB1274,Independent Commission on Civil Aviation Noise,https://iccan.gov.uk/,,1.63,,2021-12-24
PB1149,Independent Commission on Freedom of Information,https://gov.uk/government/organisations/independent-commission-on-freedom-of-information,,0.41,,2021-12-24
OT1099,Independent Complaints Reviewer,http://www.icrev.org.uk/,,0.14,,2021-12-24
PB1185,Independent Dormant Assets Commission ,https://gov.uk/government/organisations/dormant-assets-commission,,0.29,,2021-12-24
OT1122,Independent Family Returns Panel,https://gov.uk/government/organisations/independent-family-returns-panel,,0.13,,2021-12-24
PB1017,Independent Medical Expert Group,https://gov.uk/government/organisations/independent-medical-expert-group,,0.14,,2021-12-24
PB1318,Independent Monitoring Authority for the Citizens’ Rights Agreements,https://ima-citizensrights.org.uk/,,2.78,,2021-12-24
OT444,Independent Monitoring Boards,http://www.imb.org.uk/,,0.14,,2021-12-24
PB1248,Independent Office for Police Conduct,https://policeconduct.gov.uk/,,1.24,,2021-12-24
PB1219,Independent Parliamentary Standards Authority ,http://www.theipsa.org.uk/,,0.84,,2021-12-24
PB527,Independent Reconfiguration Panel,https://gov.uk/government/organisations/independent-reconfiguration-panel,,0.21,,2021-12-24
PB1258,Independent Review Mechanism,https://gov.uk/government/organisations/independent-review-mechanism,,0.14,,2021-12-24
OT511,Independent Reviewer of Terrorism Legislation,https://terrorismlegislationreviewer.independent.gov.uk,,0.56,,2021-12-24
OT152,Industrial Development Advisory Board,https://gov.uk/government/organisations/industrial-development-advisory-board,,0.14,,2021-12-24
PB231,Industrial Injuries Advisory Council,https://gov.uk/government/organisations/industrial-injuries-advisory-council,,0.36,,2021-12-24
PB298,Information Commissioner's Office,http://www.ico.org.uk/,,0.32,,2021-12-24
